YearCE, YearBP, Eccen, Obliq_deg, Perih_deg, ClimPrecc
 -148050.0,  -150000.0,    0.026927424443,   22.459870406733,  100.515909006524,    0.026475158675
 -147050.0,  -149000.0,    0.027421534073,   22.463555252994,  115.439408993999,    0.024762743513
 -146050.0,  -148000.0,    0.027950332509,   22.492466322048,  130.480245946631,    0.021259856741
 -145050.0,  -147000.0,    0.028508119266,   22.546122946863,  145.624144969550,    0.016096232715
 -144050.0,  -146000.0,    0.029089380312,   22.623226336697,  160.855671411768,    0.009539829951
 -143050.0,  -145000.0,    0.029688846260,   22.721698409474,  176.159103267152,    0.001988739930
 -142050.0,  -144000.0,    0.030301532040,   22.838753475678,  191.519212121344,   -0.006051110088
 -141050.0,  -143000.0,    0.030922761229,   22.970998357967,  206.921921208914,   -0.014001080288
 -140050.0,  -142000.0,    0.031548178228,   23.114554920894,  222.354822229100,   -0.021254635650
 -139050.0,  -141000.0,    0.032173751170,   23.265197938807,  237.807544511357,   -0.027227465678
 -138050.0,  -140000.0,    0.032795768066,   23.418500820408,  253.271980468526,   -0.031407911884
 -137050.0,  -139000.0,    0.033410828242,   23.569981938247,  268.742379675494,   -0.033402780137
 -136050.0,  -138000.0,    0.034015830684,   23.715245112861,  284.215330088332,   -0.032974255085
 -135050.0,  -137000.0,    0.034607960535,   23.850109045866,  299.689648690341,   -0.030064662500
 -134050.0,  -136000.0,    0.035184674650,   23.970722011346,  315.166205171530,   -0.024807046842
 -133050.0,  -135000.0,    0.035743686862,   24.073659705207,  330.647701247104,   -0.017520778228
 -132050.0,  -134000.0,    0.036282953394,   24.156005625075,  346.138425223110,   -0.008692560426
 -131050.0,  -133000.0,    0.036800658720,   24.215414542108,    1.643996931230,    0.001055782280
 -130050.0,  -132000.0,    0.037295202019,   24.250160410909,   17.171112829082,    0.011010527626
 -129050.0,  -131000.0,    0.037765184329,   24.259170385553,   32.727295622404,    0.020417412822
 -128050.0,  -130000.0,    0.038209396416,   24.242046477003,   48.320647930110,    0.028537752447
 -127050.0,  -129000.0,    0.038626807344,   24.199075873134,   63.959605911027,    0.034705597996
 -126050.0,  -128000.0,    0.039016553715,   24.131230174722,   79.652686862741,    0.038382029570
 -125050.0,  -127000.0,    0.039377929514,   24.040152942698,   95.408224824039,    0.039202636498
 -124050.0,  -126000.0,    0.039710376503,   23.928134181073,  111.234090142104,    0.037014378481
 -123050.0,  -125000.0,    0.040013475102,   23.798069862787,  127.137392527703,    0.031898345888
 -122050.0,  -124000.0,    0.040286935689,   23.653404474924,  143.124171816570,    0.024175497281
 -121050.0,  -123000.0,    0.040530590255,   23.498054895363,  159.199085820673,    0.014393299325
 -120050.0,  -122000.0,    0.040744384374,   23.336314730093,  175.365109545319,    0.003292386699
 -119050.0,  -121000.0,    0.040928369418,   23.172739485979,  191.623263933509,   -0.008246069574
 -118050.0,  -120000.0,    0.041082694994,   23.012014510924,  207.972394546185,   -0.019269677815
 -117050.0,  -119000.0,    0.041207601549,   22.858809335511,  224.409020746615,   -0.028836083150
 -116050.0,  -118000.0,    0.041303413130,   22.717623700259,  240.927273819650,   -0.036099332941
 -115050.0,  -117000.0,    0.041370530254,   22.592631947593,  257.518938082836,   -0.040392840949
 -114050.0,  -116000.0,    0.041409422894,   22.487533413224,  274.173602764281,   -0.041299609808
 -113050.0,  -115000.0,    0.041420623550,   22.405416825670,  290.878924792783,   -0.038700764428
 -112050.0,  -114000.0,    0.041404720408,   22.348646432922,  307.620994400382,   -0.032795272099
 -111050.0,  -113000.0,    0.041362350580,   22.318776610760,  324.384787396041,   -0.024086903093
 -110050.0,  -112000.0,    0.041294193442,   22.316500130441,  341.154680946645,   -0.013338617565
 -109050.0,  -111000.0,    0.041200964052,   22.341633204263,  357.915004417063,   -0.001498973756
 -108050.0,  -110000.0,    0.041083406698,   22.393138068725,   14.650593817140,    0.010390970304
 -107050.0,  -109000.0,    0.040942288554,   22.469181422318,   31.347317987232,    0.021299185418
 -106050.0,  -108000.0,    0.040778393495,   22.567224732555,   47.992546865214,    0.030300702441
 -105050.0,  -107000.0,    0.040592516081,   22.684140472842,   64.575536788510,    0.036661214959
 -104050.0,  -106000.0,    0.040385455732,   22.816346913829,   81.087714327913,    0.039897868767
 -103050.0,  -105000.0,    0.040158011144,   22.959953289289,   97.522847975838,    0.039812360392
 -102050.0,  -104000.0,    0.039910974947,   23.110907029953,  113.877105361302,    0.036495224947
 -101050.0,  -103000.0,    0.039645128675,   23.265135287143,  130.149001754403,    0.030303556508
 -100050.0,  -102000.0,    0.039361238042,   23.418674064134,  146.339252730196,    0.021816924015
  -99050.0,  -101000.0,    0.039060048597,   23.567779797929,  162.450549395391,    0.011777730265
  -98050.0,  -100000.0,    0.038742281762,   23.709020014473,  178.487278139720,    0.001022754006
  -97050.0,   -99000.0,    0.038408631303,   23.839341530033,  194.455208277078,   -0.009587680291
  -96050.0,   -98000.0,    0.038059760269,   23.956116412369,  210.361170236373,   -0.019237272191
  -95050.0,   -97000.0,    0.037696298407,   24.057167396351,  226.212744402221,   -0.027213491784
  -94050.0,   -96000.0,    0.037318840117,   24.140775560401,  242.017976710109,   -0.032956075418
  -93050.0,   -95000.0,    0.036927942928,   24.205673753526,  257.785132195894,   -0.036091932124
  -92050.0,   -94000.0,    0.036524126561,   24.251029511188,  273.522492454349,   -0.036455123568
  -91050.0,   -93000.0,    0.036107872550,   24.276421053143,  289.238197921674,   -0.034091497436
  -90050.0,   -92000.0,    0.035679624476,   24.281809497229,  304.940131528497,   -0.029248405280
