YearBP, YearCE, ndays, before_leap, veq_day, veq_day2, ss_day, ss_day2, perihelion_day, aphelion_day
  -67000,   -65050,  365,    2,  79.687500,  80.250000, 169.243750, 170.750000,    63.822917,   246.444444
  -66000,   -64050,  365,    3,  80.187500,  80.500000, 169.038889, 171.000000,    79.698611,   262.320139
  -65000,   -63050,  365,    0,  79.687500,  80.750000, 168.061111, 171.250000,    94.506250,   277.127083
  -64000,   -62050,  365,    1,  80.187500,  80.000000, 168.325694, 170.500000,   110.272917,   292.893750
  -63000,   -61050,  365,    2,  79.687500,  80.250000, 167.829167, 170.750000,   125.017361,   307.638889
  -62000,   -60050,  365,    3,  80.187500,  80.500000, 168.550000, 171.000000,   140.747917,   323.368750
  -61000,   -59050,  365,    0,  79.687500,  80.750000, 168.455556, 171.250000,   155.457639,   338.079167
  -60000,   -58050,  365,    1,  80.187500,  80.000000, 169.501389, 170.500000,   171.131944,   353.753472
  -59000,   -57050,  365,    2,  79.687500,  80.250000, 169.638889, 170.750000,   185.745139,     3.123611
  -58000,   -56050,  365,    3,  80.187500,  80.500000, 170.817361, 171.000000,   201.263194,    18.642361
  -57000,   -55050,  365,    0,  79.687500,  80.750000, 170.990278, 171.250000,   215.650694,    33.029861
  -56000,   -54050,  365,    1,  80.187500,  80.000000, 172.115278, 170.500000,   230.871528,    48.250000
  -55000,   -53050,  365,    2,  79.687500,  80.250000, 172.159722, 170.750000,   244.891667,    62.270139
  -54000,   -52050,  365,    3,  80.187500,  80.500000, 173.100000, 171.000000,   259.684722,    77.063194
  -53000,   -51050,  365,    0,  79.687500,  80.750000, 172.921528, 171.250000,   273.232639,    90.611806
  -52000,   -50050,  365,    1,  80.187500,  80.000000, 173.621528, 170.500000,   287.529167,   104.907639
  -51000,   -49050,  365,    2,  79.687500,  80.250000, 173.201389, 170.750000,   300.577778,   117.956944
  -50000,   -48050,  365,    3,  80.187500,  80.500000, 173.669444, 171.000000,   314.395139,   131.773611
  -49000,   -47050,  365,    0,  79.687500,  80.750000, 173.036806, 171.250000,   327.006944,   144.386111
  -48000,   -46050,  365,    1,  80.187500,  80.000000, 173.316667, 170.500000,   340.450000,   157.829167
