AgeBP, YearCE, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
 -108000,  -106050,   -0.42,    0.75,    0.17,    0.40,    3.20,    3.38,    0.53,    1.00,    4.34,    5.30,    2.41,   -0.64
 -107000,  -105050,   -1.61,   -0.13,    0.10,    0.12,    2.09,    2.10,   -0.47,    1.12,    6.26,    8.12,    4.35,   -0.60
 -106000,  -104050,   -2.40,   -0.94,    0.01,   -0.03,    1.10,    0.86,   -1.76,    0.37,    7.34,   10.78,    6.73,    0.07
 -105000,  -103050,   -2.78,   -1.54,   -0.08,   -0.02,    0.43,   -0.18,   -2.99,   -0.82,    7.57,   12.77,    8.94,    1.00
 -104000,  -102050,   -2.61,   -1.84,   -0.15,    0.05,    0.08,   -0.60,   -3.64,   -2.47,    6.35,   13.54,   10.87,    2.34
 -103000,  -101050,   -2.17,   -1.84,   -0.18,    0.10,   -0.02,   -0.50,   -3.41,   -3.54,    4.51,   12.96,   11.78,    3.40
 -102000,  -100050,   -1.44,   -1.58,   -0.16,    0.07,   -0.06,    0.03,   -2.22,   -3.87,    2.03,   10.90,   11.72,    4.36
 -101000,   -99050,   -0.82,   -1.18,   -0.10,   -0.09,   -0.17,    0.67,   -0.40,   -2.88,    0.26,    8.07,   10.35,    4.53
 -100000,   -98050,   -0.29,   -0.75,   -0.03,   -0.33,   -0.46,    1.08,    1.56,   -0.97,   -0.76,    4.84,    8.12,    4.27
  -99000,   -97050,   -0.07,   -0.39,    0.04,   -0.61,   -0.86,    1.23,    3.21,    1.43,   -0.48,    2.23,    5.36,    3.29
  -98000,   -96050,   -0.03,   -0.17,    0.09,   -0.83,   -1.33,    0.95,    4.14,    3.64,    0.62,    0.47,    2.70,    2.14
  -97000,   -95050,   -0.12,   -0.07,    0.11,   -0.93,   -1.65,    0.53,    4.39,    5.13,    1.99,   -0.24,    0.60,    0.94
  -96000,   -94050,   -0.13,   -0.06,    0.09,   -0.86,   -1.76,   -0.04,    3.87,    5.65,    3.17,   -0.17,   -0.69,    0.09
  -95000,   -93050,    0.05,   -0.03,    0.05,   -0.61,   -1.50,   -0.38,    3.01,    5.25,    3.61,    0.14,   -1.22,   -0.29
  -94000,   -92050,    0.47,    0.08,   -0.00,   -0.22,   -0.91,   -0.52,    1.88,    4.12,    3.43,    0.49,   -1.21,   -0.25
  -93000,   -91050,    1.10,    0.33,   -0.05,    0.26,    0.01,   -0.26,    0.89,    2.63,    2.59,    0.51,   -0.97,    0.12
  -92000,   -90050,    1.75,    0.70,   -0.07,    0.72,    1.11,    0.30,    0.08,    1.09,    1.52,    0.35,   -0.70,    0.49
  -91000,   -89050,    2.28,    1.10,   -0.06,    1.10,    2.21,    1.06,   -0.41,   -0.21,    0.46,    0.07,   -0.50,    0.80
  -90000,   -88050,    2.48,    1.46,   -0.01,    1.30,    3.16,    1.93,   -0.58,   -1.09,   -0.23,   -0.05,   -0.37,    0.81
  -89000,   -87050,    2.32,    1.62,    0.03,    1.34,    3.76,    2.59,   -0.60,   -1.50,   -0.39,    0.17,   -0.16,    0.63
  -88000,   -86050,    1.74,    1.58,    0.09,    1.17,    3.97,    3.08,   -0.49,   -1.51,    0.01,    0.88,    0.23,    0.25
  -87000,   -85050,    0.91,    1.26,    0.11,    0.93,    3.73,    3.05,   -0.56,   -1.26,    0.96,    2.13,    0.91,   -0.13
  -86000,   -84050,   -0.07,    0.76,    0.12,    0.60,    3.16,    2.74,   -0.75,   -1.01,    2.13,    3.79,    1.97,   -0.37
  -85000,   -83050,   -1.00,    0.15,    0.09,    0.34,    2.38,    1.99,   -1.27,   -0.87,    3.41,    5.70,    3.28,   -0.43
  -84000,   -82050,   -1.73,   -0.47,    0.04,    0.13,    1.57,    1.22,   -1.89,   -1.15,    4.25,    7.53,    4.87,   -0.11
  -83000,   -81050,   -2.20,   -0.98,   -0.02,    0.03,    0.89,    0.40,   -2.57,   -1.61,    4.70,    9.02,    6.36,    0.37
  -82000,   -80050,   -2.29,   -1.32,   -0.08,    0.00,    0.39,   -0.10,   -2.98,   -2.42,    4.26,    9.78,    7.73,    1.18
  -81000,   -79050,   -2.15,   -1.45,   -0.11,   -0.01,    0.09,   -0.34,   -3.00,   -3.00,    3.43,    9.76,    8.50,    1.85
  -80000,   -78050,   -1.74,   -1.39,   -0.11,   -0.02,   -0.08,   -0.24,   -2.49,   -3.36,    1.98,    8.75,    8.73,    2.59
  -79000,   -77050,   -1.31,   -1.19,   -0.09,   -0.09,   -0.19,    0.02,   -1.57,   -3.04,    0.77,    7.17,    8.12,    2.87
  -78000,   -76050,   -0.84,   -0.91,   -0.06,   -0.20,   -0.34,    0.30,   -0.41,   -2.23,   -0.29,    5.08,    6.93,    2.95
  -77000,   -75050,   -0.55,   -0.63,   -0.01,   -0.34,   -0.53,    0.50,    0.70,   -0.98,   -0.63,    3.16,    5.26,    2.53
  -76000,   -74050,   -0.34,   -0.41,    0.02,   -0.47,   -0.76,    0.49,    1.52,    0.34,   -0.51,    1.53,    3.49,    1.96
  -75000,   -73050,   -0.28,   -0.25,    0.05,   -0.55,   -0.93,    0.37,    1.97,    1.43,    0.01,    0.52,    1.90,    1.21
  -74000,   -72050,   -0.24,   -0.17,    0.05,   -0.55,   -1.03,    0.11,    1.95,    2.07,    0.60,    0.01,    0.70,    0.59
  -73000,   -71050,   -0.18,   -0.11,    0.04,   -0.45,   -0.93,   -0.08,    1.65,    2.18,    0.99,   -0.12,   -0.04,    0.14
  -72000,   -70050,   -0.02,   -0.05,    0.02,   -0.27,   -0.67,   -0.21,    1.10,    1.83,    1.11,   -0.07,   -0.38,   -0.05
  -71000,   -69050,    0.22,    0.06,   -0.00,   -0.03,   -0.22,   -0.14,    0.54,    1.17,    0.88,   -0.04,   -0.46,   -0.05
  -70000,   -68050,    0.50,    0.21,   -0.02,    0.22,    0.34,    0.08,    0.03,    0.40,    0.48,   -0.02,   -0.40,    0.04
  -69000,   -67050,    0.75,    0.38,   -0.02,    0.43,    0.92,    0.42,   -0.34,   -0.34,    0.03,   -0.04,   -0.30,    0.16
  -68000,   -66050,    0.86,    0.54,   -0.01,    0.57,    1.44,    0.85,   -0.56,   -0.92,   -0.30,    0.02,   -0.16,    0.18
  -67000,   -65050,    0.82,    0.63,    0.01,    0.64,    1.81,    1.17,   -0.71,   -1.30,   -0.41,    0.24,    0.04,    0.13
  -66000,   -64050,    0.59,    0.62,    0.03,    0.61,    2.00,    1.45,   -0.77,   -1.50,   -0.30,    0.68,    0.35,    0.01
  -65000,   -63050,    0.23,    0.50,    0.04,    0.53,    1.98,    1.47,   -0.92,   -1.58,    0.07,    1.36,    0.80,   -0.12
  -64000,   -62050,   -0.21,    0.29,    0.04,    0.40,    1.81,    1.41,   -1.07,   -1.65,    0.50,    2.20,    1.43,   -0.18
  -63000,   -61050,   -0.66,    0.02,    0.03,    0.29,    1.52,    1.12,   -1.36,   -1.73,    1.02,    3.17,    2.15,   -0.18
  -62000,   -60050,   -1.04,   -0.26,    0.02,    0.17,    1.19,    0.84,   -1.64,   -1.94,    1.32,    4.05,    2.99,   -0.02
  -61000,   -59050,   -1.34,   -0.51,   -0.00,    0.10,    0.86,    0.49,   -1.95,   -2.16,    1.56,    4.83,    3.76,    0.17
  -60000,   -58050,   -1.49,   -0.72,   -0.02,    0.03,    0.57,    0.25,   -2.11,   -2.49,    1.43,    5.28,    4.48,    0.51
  -59000,   -57050,   -1.58,   -0.85,   -0.04,   -0.01,    0.33,    0.05,   -2.19,   -2.69,    1.25,    5.49,    4.94,    0.76
  -58000,   -56050,   -1.52,   -0.92,   -0.05,   -0.06,    0.14,   -0.02,   -2.05,   -2.85,    0.77,    5.29,    5.23,    1.09
  -57000,   -55050,   -1.46,   -0.92,   -0.05,   -0.11,   -0.03,   -0.06,   -1.81,   -2.79,    0.40,    4.92,    5.19,    1.23
  -56000,   -54050,   -1.31,   -0.88,   -0.04,   -0.15,   -0.17,   -0.03,   -1.43,   -2.62,   -0.08,    4.25,    4.97,    1.39
  -55000,   -53050,   -1.21,   -0.81,   -0.03,   -0.21,   -0.29,   -0.01,   -1.03,   -2.26,   -0.33,    3.59,    4.50,    1.32
  -54000,   -52050,   -1.06,   -0.73,   -0.02,   -0.25,   -0.39,    0.02,   -0.63,   -1.86,   -0.58,    2.81,    3.95,    1.28
  -53000,   -51050,   -0.96,   -0.63,   -0.01,   -0.29,   -0.47,    0.03,   -0.30,   -1.41,   -0.61,    2.18,    3.30,    1.08
  -52000,   -50050,   -0.84,   -0.55,   -0.00,   -0.31,   -0.53,    0.01,   -0.04,   -1.00,   -0.63,    1.58,    2.68,    0.93
  -51000,   -49050,   -0.75,   -0.46,    0.01,   -0.31,   -0.54,   -0.01,    0.10,   -0.67,   -0.53,    1.15,    2.09,    0.69
  -50000,   -48050,   -0.64,   -0.39,    0.01,   -0.29,   -0.51,   -0.04,    0.16,   -0.44,   -0.45,    0.79,    1.58,    0.53
  -49000,   -47050,   -0.54,   -0.31,    0.01,   -0.24,   -0.43,   -0.04,    0.13,   -0.33,   -0.36,    0.57,    1.16,    0.34
  -48000,   -46050,   -0.43,   -0.24,    0.01,   -0.18,   -0.31,   -0.04,    0.04,   -0.32,   -0.31,    0.40,    0.84,    0.23
  -47000,   -45050,   -0.32,   -0.16,    0.00,   -0.10,   -0.15,   -0.01,   -0.11,   -0.40,   -0.29,    0.31,    0.60,    0.12
  -46000,   -44050,   -0.20,   -0.09,    0.00,   -0.02,    0.05,    0.05,   -0.27,   -0.56,   -0.31,    0.26,    0.45,    0.07
  -45000,   -43050,   -0.10,   -0.01,   -0.00,    0.07,    0.27,    0.14,   -0.46,   -0.77,   -0.35,    0.28,    0.37,    0.02
  -44000,   -42050,   -0.01,    0.07,   -0.00,    0.16,    0.51,    0.26,   -0.63,   -1.01,   -0.42,    0.31,    0.36,    0.01
  -43000,   -41050,    0.05,    0.13,   -0.00,    0.24,    0.74,    0.38,   -0.80,   -1.25,   -0.46,    0.42,    0.40,   -0.00
  -42000,   -40050,    0.08,    0.18,    0.00,    0.30,    0.96,    0.55,   -0.93,   -1.49,   -0.51,    0.55,    0.50,   -0.01
  -41000,   -39050,    0.05,    0.21,    0.01,    0.34,    1.14,    0.66,   -1.08,   -1.68,   -0.46,    0.77,    0.65,   -0.03
  -40000,   -38050,   -0.03,    0.21,    0.01,    0.35,    1.28,    0.81,   -1.15,   -1.84,   -0.40,    1.05,    0.86,   -0.04
  -39000,   -37050,   -0.17,    0.17,    0.02,    0.35,    1.33,    0.85,   -1.27,   -1.93,   -0.21,    1.45,    1.13,   -0.07
  -38000,   -36050,   -0.36,    0.08,    0.02,    0.30,    1.32,    0.90,   -1.33,   -2.00,   -0.01,    1.91,    1.50,   -0.07
  -37000,   -35050,   -0.60,   -0.04,    0.02,    0.25,    1.22,    0.81,   -1.46,   -2.02,    0.33,    2.50,    1.93,   -0.07
  -36000,   -34050,   -0.84,   -0.20,    0.01,    0.18,    1.06,    0.71,   -1.55,   -2.08,    0.59,    3.10,    2.46,    0.02
  -35000,   -33050,   -1.08,   -0.38,    0.00,    0.11,    0.84,    0.50,   -1.71,   -2.11,    0.91,    3.75,    3.01,    0.11
  -34000,   -32050,   -1.25,   -0.56,   -0.01,    0.05,    0.61,    0.32,   -1.80,   -2.24,    1.01,    4.27,    3.63,    0.35
  -33000,   -31050,   -1.37,   -0.70,   -0.03,    0.01,    0.38,    0.11,   -1.90,   -2.33,    1.09,    4.69,    4.15,    0.56
  -32000,   -30050,   -1.36,   -0.80,   -0.04,   -0.03,    0.18,   -0.01,   -1.85,   -2.47,    0.84,    4.80,    4.60,    0.91
  -31000,   -29050,   -1.30,   -0.83,   -0.05,   -0.07,    0.01,   -0.08,   -1.70,   -2.47,    0.58,    4.67,    4.78,    1.14
  -30000,   -28050,   -1.13,   -0.80,   -0.04,   -0.12,   -0.13,   -0.05,   -1.36,   -2.38,    0.10,    4.15,    4.75,    1.41
  -29000,   -27050,   -0.97,   -0.72,   -0.03,   -0.17,   -0.25,    0.01,   -0.90,   -2.03,   -0.23,    3.46,    4.37,    1.45
  -28000,   -26050,   -0.76,   -0.60,   -0.02,   -0.24,   -0.38,    0.07,   -0.35,   -1.51,   -0.55,    2.54,    3.74,    1.44
  -27000,   -25050,   -0.63,   -0.48,    0.00,   -0.30,   -0.50,    0.11,    0.16,   -0.85,   -0.57,    1.70,    2.91,    1.20
  -26000,   -24050,   -0.50,   -0.37,    0.01,   -0.35,   -0.60,    0.08,    0.54,   -0.19,   -0.46,    0.93,    2.02,    0.92
  -25000,   -23050,   -0.42,   -0.27,    0.02,   -0.36,   -0.65,    0.02,    0.74,    0.35,   -0.19,    0.42,    1.19,    0.55
  -24000,   -22050,   -0.31,   -0.19,    0.02,   -0.31,   -0.61,   -0.07,    0.72,    0.64,    0.07,    0.11,    0.54,    0.27
  -23000,   -21050,   -0.17,   -0.11,    0.01,   -0.20,   -0.44,   -0.10,    0.53,    0.65,    0.22,   -0.02,    0.10,    0.06
  -22000,   -20050,    0.02,   -0.00,    0.00,   -0.04,   -0.13,   -0.06,    0.21,    0.39,    0.22,   -0.05,   -0.13,   -0.01
  -21000,   -19050,    0.25,    0.13,   -0.01,    0.14,    0.29,    0.10,   -0.13,   -0.06,    0.06,   -0.05,   -0.20,   -0.00
  -20000,   -18050,    0.47,    0.29,   -0.01,    0.33,    0.78,    0.38,   -0.45,   -0.59,   -0.17,   -0.01,   -0.17,    0.04
  -19000,   -17050,    0.61,    0.43,   -0.01,    0.48,    1.26,    0.70,   -0.72,   -1.09,   -0.37,    0.12,   -0.04,    0.07
  -18000,   -16050,    0.61,    0.54,    0.01,    0.56,    1.68,    1.06,   -0.89,   -1.50,   -0.46,    0.38,    0.17,    0.04
  -17000,   -15050,    0.45,    0.55,    0.02,    0.59,    1.94,    1.28,   -1.07,   -1.76,   -0.31,    0.87,    0.52,   -0.03
  -16000,   -14050,    0.13,    0.46,    0.04,    0.52,    2.02,    1.44,   -1.20,   -1.93,   -0.01,    1.58,    1.03,   -0.10
  -15000,   -13050,   -0.31,    0.26,    0.04,    0.43,    1.90,    1.34,   -1.46,   -2.01,    0.53,    2.56,    1.71,   -0.17
  -14000,   -12050,   -0.78,   -0.03,    0.03,    0.30,    1.63,    1.16,   -1.71,   -2.16,    1.03,    3.63,    2.60,   -0.11
  -13000,   -11050,   -1.24,   -0.35,    0.01,    0.18,    1.27,    0.79,   -2.06,   -2.31,    1.56,    4.76,    3.54,    0.01
  -12000,   -10050,   -1.57,   -0.66,   -0.01,    0.08,    0.88,    0.48,   -2.33,   -2.62,    1.72,    5.66,    4.56,    0.35
  -11000,    -9050,   -1.78,   -0.90,   -0.04,    0.01,    0.52,    0.14,   -2.52,   -2.87,    1.75,    6.30,    5.38,    0.67
  -10000,    -8050,   -1.78,   -1.05,   -0.06,   -0.04,    0.23,   -0.02,   -2.45,   -3.15,    1.30,    6.40,    6.01,    1.15
   -9000,    -7050,   -1.70,   -1.09,   -0.06,   -0.10,   -0.01,   -0.10,   -2.16,   -3.14,    0.83,    6.08,    6.18,    1.44
   -8000,    -6050,   -1.47,   -1.03,   -0.06,   -0.16,   -0.21,   -0.05,   -1.60,   -2.92,    0.12,    5.21,    5.99,    1.74
   -7000,    -5050,   -1.26,   -0.91,   -0.04,   -0.24,   -0.38,    0.03,   -0.93,   -2.35,   -0.31,    4.15,    5.31,    1.72
   -6000,    -4050,   -1.00,   -0.75,   -0.02,   -0.31,   -0.54,    0.09,   -0.23,   -1.60,   -0.65,    2.89,    4.37,    1.63
   -5000,    -3050,   -0.82,   -0.59,    0.00,   -0.38,   -0.66,    0.11,    0.34,   -0.77,   -0.61,    1.84,    3.23,    1.28
   -4000,    -2050,   -0.65,   -0.45,    0.01,   -0.40,   -0.74,    0.04,    0.68,   -0.06,   -0.44,    0.97,    2.15,    0.93
   -3000,    -1050,   -0.52,   -0.33,    0.02,   -0.38,   -0.72,   -0.02,    0.78,    0.40,   -0.17,    0.44,    1.23,    0.53
   -2000,      -50,   -0.36,   -0.22,    0.02,   -0.30,   -0.60,   -0.10,    0.64,    0.54,    0.03,    0.14,    0.57,    0.25
   -1000,      950,   -0.19,   -0.12,    0.01,   -0.16,   -0.35,   -0.08,    0.36,    0.38,    0.09,    0.02,    0.17,    0.06
       0,     1950,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00
