   AgeBP,  JanDays     , FebDays     , MarDays     , AprDays     , MayDays     , JunDays     , JulDays     , AugDays     , SepDays     , OctDays     , NovDays     , DecDays     , JanMid      , FebMid      , MarMid      , AprMid      , MayMid      , JunMid      , JulMid      , AugMid      , SepMid      , OctMid      , NovMid      , DecMid      , JanBeg      , FebBeg      , MarBeg      , AprBeg      , MayBeg      , JunBeg      , JulBeg      , AugBeg      , SepBeg      , OctBeg      , NovBeg      , DecBeg      , JanEnd      , FebEnd      , MarEnd      , AprEnd      , MayEnd      , JunEnd      , JulEnd      , AugEnd      , SepEnd      , OctEnd      , NovEnd      , De,    "JanColor ",    "FebColor ",    "MarColor ",    "AprColor ",    "MayColor ",    "JunColor ",    "JulColor ",    "AugColor ",    "SepColor ",    "OctColor ",    "NovColor ",    "DecColor "
 -134000,    30.537423,    26.810609,    29.158978,    28.132365,    29.476098,    29.317518,    31.337933,    32.332895,    31.883838,    32.996954,    31.436377,    31.579011,    18.233132,    46.883671,    74.862531,   103.451241,   132.168582,   161.499001,   191.801494,   223.691930,   255.895792,   288.412185,   320.659899,   352.178740,     2.833985,    33.386937,    60.227097,    89.406252,   117.527141,   146.970329,   176.266983,   207.616878,   239.983004,   271.885320,   304.867528,   336.272233,    33.386937,    60.227097,    89.406252,   117.527141,   146.970329,   176.266983,   207.616878,   239.983004,   271.885320,   304.867528,   336.272233,   367.833985,    "Deep Yellow",         "Orange",         "Orange",    "Deep Yellow",    "Pale Yellow",  "Easter Purple",  "Easter Purple",   "Light Purple",   "Light Purple",         "Purple",   "Light Purple",  "Easter Purple"
 -133000,    31.009988,    27.024555,    29.118198,    27.831235,    28.964463,    28.741225,    30.812604,    32.038679,    31.919206,    33.360049,    31.992324,    32.187475,    17.798933,    46.794185,    74.874190,   103.293277,   131.596655,   160.358578,   190.079685,   221.539183,   253.616834,   286.347907,   319.078545,   351.194467,     2.141729,    33.161303,    60.218175,    89.365655,   117.191859,   146.120973,   174.831900,   205.648879,   237.723538,   269.671253,   303.023682,   334.981167,    33.161303,    60.218175,    89.365655,   117.191859,   146.120973,   174.831900,   205.648879,   237.723538,   269.671253,   303.023682,   334.981167,   367.141729,    "Pale Yellow",    "Deep Yellow",         "Orange",    "Deep Yellow",    "Pale Yellow",  "Easter Purple",  "Easter Purple",  "Easter Purple",   "Light Purple",         "Purple",         "Purple",   "Light Purple"
 -132000,    31.577666,    27.364211,    29.228489,    27.660072,    28.542571,    28.184000,    30.220527,    31.597773,    31.776625,    33.565246,    32.471152,    32.811670,    17.082432,    46.535469,    74.856563,   103.250286,   131.255471,   159.507608,   188.624724,   219.540658,   251.320162,   284.090601,   317.185632,   349.869520,     1.128282,    32.707673,    60.104799,    89.370882,   117.033825,   145.541074,   173.686333,   203.901883,   235.535367,   267.349589,   300.916537,   333.352507,    32.707673,    60.104799,    89.370882,   117.033825,   145.541074,   173.686333,   203.901883,   235.535367,   267.349589,   300.916537,   333.352507,   366.128282,  "Easter Purple",    "Deep Yellow",         "Orange",    "Deep Yellow",    "Pale Yellow",    "Pale Yellow",  "Easter Purple",  "Easter Purple",   "Light Purple",         "Purple",         "Purple",         "Purple"
 -131000,    32.205035,    27.813651,    29.488676,    27.632367,    28.238860,    27.685853,    29.608586,    31.046764,    31.464496,    33.587023,    32.826493,    33.402197,    16.117849,    46.116597,    74.809672,   103.328167,   131.171555,   159.007711,   187.543824,   217.848176,   249.181147,   281.805989,   315.108073,   348.281053,    -0.152467,    32.044984,    59.889837,    89.423091,   117.067230,   145.273280,   172.913544,   202.506765,   233.585932,   265.095304,   298.694777,   331.488764,    32.044984,    59.889837,    89.423091,   117.067230,   145.273280,   172.913544,   202.506765,   233.585932,   265.095304,   298.694777,   331.488764,   364.847533,   "Light Purple",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",  "Easter Purple",   "Light Purple",         "Purple",         "Purple",         "Purple"
 -130000,    32.847579,    28.348018,    29.888945,    27.754129,    28.074310,    27.281025,    29.023017,    30.431114,    31.007925,    33.417184,    33.019945,    33.906807,    14.959148,    45.557067,    74.735174,   103.526504,   131.357553,   158.899568,   186.919381,   216.592718,   247.368074,   279.671038,   312.997113,   346.532685,    -1.622777,    31.207079,    59.582258,    89.520931,   117.296225,   145.342613,   172.573285,   201.570310,   232.027746,   263.085329,   296.526185,   329.519210,    31.207079,    59.582258,    89.520931,   117.296225,   145.342613,   172.573285,   201.570310,   232.027746,   263.085329,   296.526185,   329.519210,   363.377223,         "Purple",  "Easter Purple",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",  "Easter Purple",         "Purple",         "Purple",         "Purple"
 -129000,    33.453800,    28.933248,    30.409985,    28.023484,    28.062230,    26.996781,    28.505868,    29.799907,    30.445397,    33.066678,    33.026805,    34.275817,    13.680266,    44.887683,    74.636535,   103.838064,   131.811520,   159.201683,   186.805425,   215.876138,   246.029055,   277.859989,   311.018687,   344.750927,    -3.182282,    30.243568,    59.197739,    89.660312,   117.714275,   145.755615,   172.699718,   201.169527,   230.987419,   261.484337,   294.585358,   327.593327,    30.243568,    59.197739,    89.660312,   117.714275,   145.755615,   172.699718,   201.169527,   230.987419,   261.484337,   294.585358,   327.593327,   361.817718,         "Purple",   "Light Purple",    "Pale Yellow",    "Deep Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",  "Easter Purple",   "Light Purple",         "Purple",         "Purple"
 -128000,    33.969197,    29.526735,    31.022156,    28.429943,    28.208031,    26.852926,    28.092739,    29.201098,    29.823835,    32.564430,    32.840353,    34.468558,    12.373405,    44.150988,    74.519199,   104.248068,   132.515742,   159.908992,   187.225025,   215.764928,   245.280456,   276.529316,   309.340235,   343.077964,    -4.712120,    29.219638,    58.759163,    89.834101,   118.303137,   146.499087,   173.299666,   201.347581,   230.556764,   260.430945,   293.038887,   325.870303,    29.219638,    58.759163,    89.834101,   118.303137,   146.499087,   173.299666,   201.347581,   230.556764,   260.430945,   293.038887,   325.870303,   360.287880,         "Purple",   "Light Purple",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",   "Light Purple",         "Purple",         "Purple"
 -127000,    34.342069,    30.079488,    31.685209,    28.953431,    28.508712,    26.861612,    27.811623,    28.677923,    29.193222,    31.953497,    32.473539,    34.459675,    11.144332,    43.400538,    74.390693,   104.733451,   133.435185,   160.991069,   188.167996,   216.285607,   245.197452,   275.803116,   308.114923,   341.660333,    -6.082856,    28.213868,    58.296609,    90.031879,   119.031653,   147.538375,   174.350686,   202.110659,   230.785989,   260.025510,   292.029421,   324.504870,    28.213868,    58.296609,    90.031879,   119.031653,   147.538375,   174.350686,   202.110659,   230.785989,   260.025510,   292.029421,   324.504870,   358.917144,         "Purple",         "Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",  "Easter Purple",         "Purple",         "Purple"
 -126000,    34.530474,    30.540180,    32.349202,    29.563381,    28.951978,    27.027070,    27.682449,    28.266638,    28.601824,    31.285541,    31.957541,    34.243721,    10.103975,    42.698280,    74.260503,   105.262510,   134.516099,   162.390154,   189.588719,   217.421341,   245.807018,   275.760455,   307.465086,   340.634092,    -7.166395,    27.313179,    57.846358,    90.239930,   119.854871,   148.815591,   175.799017,   203.425433,   231.678826,   260.320427,   291.660503,   323.630812,    27.313179,    57.846358,    90.239930,   119.854871,   148.815591,   175.799017,   203.425433,   231.678826,   260.320427,   291.660503,   323.630812,   357.833605,         "Purple",         "Purple",   "Light Purple",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",  "Easter Purple",         "Purple",         "Purple"
 -125000,    34.508968,    30.860989,    32.957326,    30.218452,    29.515095,    27.344998,    27.716872,    27.995389,    28.092645,    30.614909,    31.337566,    33.836792,     9.356539,    42.109501,    74.139600,   105.795486,   135.685676,   164.019863,   191.404519,   219.109838,   247.083531,   276.425972,   307.467224,   340.108256,    -7.850871,    26.604597,    57.448466,    90.441704,   120.714279,   150.248721,   177.558058,   205.217307,   233.189590,   261.313574,   291.984119,   323.344422,    26.604597,    57.448466,    90.441704,   120.714279,   150.248721,   177.558058,   205.217307,   233.189590,   261.313574,   291.984119,   323.344422,   357.149129,    "Deep Purple",         "Purple",         "Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",         "Orange",    "Pale Yellow",   "Light Purple",         "Purple"
 -124000,    34.273456,    31.004454,    33.451019,    30.867609,    30.163896,    27.801557,    27.917898,    27.883767,    27.701264,    29.993472,    30.666975,    33.274634,     8.985605,    41.695424,    74.039510,   106.286705,   136.854004,   165.765954,   193.495733,   221.243163,   248.947434,   277.764843,   308.140967,   340.149323,    -8.056224,    26.164436,    57.142726,    90.618955,   121.540121,   151.732967,   179.508704,   207.370363,   235.222636,   262.945535,   292.992738,   323.690754,    26.164436,    57.142726,    90.618955,   121.540121,   151.732967,   179.508704,   207.370363,   235.222636,   262.945535,   292.992738,   323.690754,   356.943776,         "Purple",         "Purple",         "Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",         "Orange",    "Deep Yellow",  "Easter Purple",         "Purple"
