 -118000 -116050,    -0.494548,     0.396735,     1.295464,     1.789374,     1.876024,     1.318144,     0.469618,    -0.535793,    -1.303146,    -1.785447,    -1.714430,    -1.311995
 -117000 -115050,    -0.996790,    -0.235538,     0.568357,     1.257973,     1.679859,     1.529240,     1.024560,     0.182501,    -0.646123,    -1.311824,    -1.556027,    -1.496188
 -116000 -114050,    -1.338291,    -0.783315,    -0.166547,     0.604886,     1.268952,     1.514500,     1.407651,     0.840665,     0.061842,    -0.701170,    -1.220193,    -1.488979
 -115000 -113050,    -1.495895,    -1.206434,    -0.846740,    -0.105667,     0.687102,     1.273028,     1.573428,     1.371192,     0.760271,     0.004083,    -0.725796,    -1.288571
 -114000 -112050,    -1.458680,    -1.476061,    -1.419198,    -0.808491,    -0.004831,     0.831125,     1.500673,     1.715060,     1.382481,     0.748268,    -0.104865,    -0.905481
 -113000 -111050,    -1.227994,    -1.574902,    -1.843213,    -1.444598,    -0.738580,     0.237553,     1.196955,     1.831903,     1.863481,     1.465535,     0.597151,    -0.363291
 -112000 -110050,    -0.817761,    -1.496976,    -2.091277,    -1.965766,    -1.447639,    -0.445070,     0.697366,     1.707824,     2.149825,     2.085979,     1.322747,     0.300746
 -111000 -109050,    -0.254972,    -1.247470,    -2.148870,    -2.336574,    -2.074067,    -1.150060,     0.057853,     1.358247,     2.209046,     2.544597,     2.006230,     1.036040
 -110000 -108050,     0.420121,    -0.842836,    -2.013932,    -2.534647,    -2.572328,    -1.815139,    -0.654607,     0.824765,     2.035825,     2.791456,     2.580484,     1.780838
 -109000 -107050,     1.154859,    -0.310996,    -1.696505,    -2.550030,    -2.910562,    -2.388118,    -1.372044,     0.167121,     1.652805,     2.800469,     2.985978,     2.467023
 -108000 -106050,     1.886942,     0.308863,    -1.218650,    -2.384419,    -3.070246,    -2.829618,    -2.033421,    -0.547021,     1.105799,     2.574024,     3.180164,     3.027583
 -107000 -105050,     2.549647,     0.967554,    -0.614376,    -2.050646,    -3.045186,    -3.113510,    -2.589391,    -1.251637,     0.455096,     2.141949,     3.144723,     3.405776
 -106000 -104050,     3.079337,     1.608899,     0.070981,    -1.572445,    -2.840553,    -3.226087,    -3.004113,    -1.889275,    -0.234363,     1.555272,     2.888392,     3.563955
 -105000 -103050,     3.424108,     2.174763,     0.782637,    -0.984192,    -2.472260,    -3.164865,    -3.255050,    -2.414784,    -0.901419,     0.876917,     2.444538,     3.489607
 -104000 -102050,     3.551595,     2.611767,     1.460057,    -0.330072,    -1.966628,    -2.937585,    -3.331776,    -2.796356,    -1.494314,     0.172112,     1.864393,     3.196806
 -103000 -101050,     3.453807,     2.878514,     2.042617,     0.337928,    -1.359983,    -2.561603,    -3.234660,    -3.014869,    -1.973359,    -0.499301,     1.208190,     2.722718
 -102000 -100050,     3.147608,     2.951632,     2.476657,     0.963656,    -0.697655,    -2.063554,    -2.973871,    -3.062558,    -2.311325,    -1.087650,     0.536629,     2.120430
 -101000  -99050,     2.670823,     2.828993,     2.722629,     1.492088,    -0.031791,    -1.478920,    -2.568805,    -2.941721,    -2.492551,    -1.555442,    -0.095610,     1.450307
 -100000  -98050,     2.075294,     2.529236,     2.760646,     1.875677,     0.582369,    -0.850977,    -2.047772,    -2.663811,    -2.511635,    -1.877396,    -0.643692,     0.772061
