YearBP, JanDiff, FebDiff, MarDiff, AprDiff, MayDiff, JunDiff, JulDiff, AugDiff, SepDiff, OctDiff, NovDiff, DecDiff
 -113000,   -3.524941,   -2.096763,   -0.357160,    1.349130,    2.518506,    2.796445,   -2.054364,   -0.450072,    1.487887,    3.204001,    4.230986,    4.338008
 -112000,   -3.404435,   -2.219114,   -0.409576,    1.684767,    3.486534,    4.494975,   -4.380506,   -3.102691,   -1.065750,    1.131010,    2.857590,    3.673327
 -111000,   -2.899318,   -2.121340,   -0.425226,    1.881455,    4.190833,    5.895043,   -6.490679,   -5.733383,   -3.836777,   -1.360982,    0.965621,    2.508465
 -110000,   -2.044564,   -1.810888,   -0.403478,    1.928386,    4.587210,    6.896769,   -8.216389,   -8.115202,   -6.580002,   -4.057420,   -1.292890,    0.929286
 -109000,   -0.901100,   -1.309081,   -0.346012,    1.824504,    4.654605,    7.436319,   -9.430961,  -10.053190,   -9.057071,   -6.722753,   -3.729246,   -0.942080
 -108000,    0.445248,   -0.651142,   -0.256800,    1.578080,    4.393802,    7.485452,  -10.054422,  -11.399244,  -11.059704,   -9.123567,   -6.133117,   -2.953252
 -107000,    1.887101,    0.114238,   -0.142102,    1.206530,    3.826355,    7.049813,  -10.054110,  -12.060323,  -12.428034,  -11.052309,   -8.292400,   -4.932361
 -106000,    3.302362,    0.926603,   -0.010386,    0.736291,    2.993874,    6.167081,   -9.442947,  -12.001090,  -13.062387,  -12.348025,  -10.015539,   -6.703704
 -105000,    4.564991,    1.717427,    0.127969,    0.202327,    1.957222,    4.905152,   -8.276595,  -11.242561,  -12.928342,  -12.911173,  -11.152742,   -8.106750
 -104000,    5.558887,    2.416150,    0.261323,   -0.353254,    0.794749,    3.359737,   -6.649773,   -9.858017,  -12.055941,  -12.710983,  -11.612341,   -9.015385
 -103000,    6.192591,    2.958102,    0.377804,   -0.883922,   -0.401415,    1.650284,   -4.691148,   -7.966629,  -10.534097,  -11.785171,  -11.369541,   -9.353527
 -102000,    6.411630,    3.292985,    0.466663,   -1.342917,   -1.531744,   -0.086870,   -2.555883,   -5.724685,   -8.501068,  -10.232836,  -10.466417,   -9.103788
 -101000,    6.205481,    3.391985,    0.519703,   -1.688534,   -2.498384,   -1.708653,   -0.415123,   -3.314102,   -6.131667,   -8.201936,   -9.003710,   -8.307437
 -100000,    5.607466,    3.251650,    0.532447,   -1.889564,   -3.215936,   -3.078292,    1.557526,   -0.928372,   -3.621972,   -5.873090,   -7.126398,   -7.056079
  -99000,    4.687833,    2.893491,    0.504744,   -1.929639,   -3.622066,   -4.079653,    3.201458,    1.243214,   -1.172732,   -3.441711,   -5.005793,   -5.477313
  -98000,    3.542102,    2.359561,    0.440637,   -1.809344,   -3.685600,   -4.630453,    4.384541,    3.031513,    1.027006,   -1.100557,   -2.821152,   -3.717653
  -97000,    2.277622,    1.705355,    0.347554,   -1.545525,   -3.410134,   -4.691741,    5.016252,    4.301815,    2.814407,    0.975450,   -0.743344,   -1.926027
  -96000,    1.001173,    0.991920,    0.235069,   -1.168073,   -2.832311,   -4.271653,    5.056352,    4.964795,    4.064252,    2.640928,    1.077760,   -0.240277
  -95000,   -0.190551,    0.278846,    0.113558,   -0.715112,   -2.015324,   -3.422738,    4.517763,    4.983010,    4.696564,    3.787839,    2.521612,    1.222155
  -94000,   -1.216916,   -0.380841,   -0.006963,   -0.227820,   -1.039399,   -2.233594,    3.463294,    4.372471,    4.680406,    4.349732,    3.501427,    2.369419
  -93000,   -2.016138,   -0.943660,   -0.117668,    0.254067,    0.008517,   -0.816764,    1.996992,    3.199356,    4.034124,    4.303149,    3.965736,    3.137190
  -92000,   -2.545811,   -1.376852,   -0.211382,    0.695482,    1.043910,    0.704630,    0.251678,    1.572434,    2.822399,    3.666951,    3.898176,    3.488590
  -91000,   -2.782220,   -1.658365,   -0.282750,    1.067871,    1.991496,    2.209227,   -1.625263,   -0.367916,    1.150377,    2.499969,    3.316367,    3.413200
  -90000,   -2.719294,   -1.776277,   -0.328213,    1.349887,    2.789369,    3.587167,   -3.485742,   -2.462819,   -0.844878,    0.897035,    2.270279,    2.925936
  -89000,   -2.367748,   -1.728133,   -0.345903,    1.527367,    3.390861,    4.746632,   -5.192818,   -4.548695,   -3.005209,   -1.016899,    0.839904,    2.066033
  -88000,   -1.754561,   -1.520478,   -0.335531,    1.592961,    3.764845,    5.617395,   -6.629598,   -6.470243,   -5.163789,   -3.094815,   -0.868261,    0.895944
  -87000,   -0.922591,   -1.168654,   -0.298314,    1.545738,    3.895269,    6.152165,   -7.705020,   -8.091445,   -7.158074,   -5.177885,   -2.726638,   -0.500465
  -86000,    0.070153,   -0.696712,   -0.236951,    1.390928,    3.780502,    6.326605,   -8.356974,   -9.303906,   -8.842128,   -7.107416,   -4.594373,   -2.021204
  -85000,    1.152265,   -0.137154,   -0.155618,    1.139824,    3.432860,    6.138831,   -8.553537,  -10.032438,  -10.097214,   -8.737530,   -6.327534,   -3.551642
  -84000,    2.242365,    0.469912,   -0.059923,    0.809733,    2.878328,    5.608826,   -8.293057,  -10.238180,  -10.839897,   -9.947249,   -7.791066,   -4.972512
  -83000,    3.254623,    1.078626,    0.043232,    0.423750,    2.156242,    4.777809,   -7.603551,   -9.919715,  -11.027300,  -10.650685,   -8.871201,   -6.170121
  -82000,    4.106274,    1.640507,    0.145986,    0.010072,    1.318460,    3.707214,   -6.541435,   -9.112506,  -10.659421,  -10.804201,   -9.486665,   -7.047657
  -81000,    4.726352,    2.108847,    0.240068,   -0.399434,    0.427428,    2.476655,   -5.189220,   -7.886658,   -9.778561,  -10.409834,   -9.596966,   -7.535908
  -80000,    5.064218,    2.443872,    0.317575,   -0.771579,   -0.447362,    1.180139,   -3.651559,   -6.342758,   -8.465843,   -9.514588,   -9.206431,   -7.601408
  -79000,    5.096145,    2.617803,    0.371873,   -1.075037,   -1.234774,   -0.079983,   -2.049027,   -4.605426,   -6.834853,   -8.205662,   -8.363284,   -7.250362
  -78000,    4.828406,    2.618687,    0.398469,   -1.283964,   -1.868958,   -1.201391,   -0.509395,   -2.814377,   -5.022529,   -6.601999,   -7.153849,   -6.527476
  -77000,    4.296096,    2.452029,    0.395646,   -1.381395,   -2.296914,   -2.091802,    0.843252,   -1.113289,   -3.177788,   -4.842990,   -5.692754,   -5.509868
  -76000,    3.557899,    2.139771,    0.364695,   -1.361611,   -2.485242,   -2.679223,    1.900456,    0.362678,   -1.448781,   -3.075553,   -4.110617,   -4.297264
  -75000,    2.688022,    1.716866,    0.309677,   -1.230861,   -2.424568,   -2.920563,    2.580695,    1.499321,    0.029921,   -1.441024,   -2.540978,   -3.000320
  -74000,    1.766996,    1.226277,    0.236778,   -1.006226,   -2.130522,   -2.806793,    2.838185,    2.214168,    1.148853,   -0.063275,   -1.108189,   -1.729022
  -73000,    0.873010,    0.713535,    0.153415,   -0.712910,   -1.640980,   -2.363472,    2.667519,    2.464082,    1.832610,    0.960807,    0.082484,   -0.582765
  -72000,    0.074986,    0.221851,    0.067294,   -0.380639,   -1.010251,   -1.646465,    2.103265,    2.248589,    2.045385,    1.567840,    0.951886,    0.356996
  -71000,   -0.572131,   -0.211585,   -0.014403,   -0.039941,   -0.301548,   -0.733811,    1.214567,    1.608495,    1.792624,    1.731237,    1.451043,    1.031313
  -70000,   -1.029908,   -0.557925,   -0.085612,    0.281027,    0.420690,    0.284555,    0.095790,    0.620013,    1.118787,    1.461368,    1.562557,    1.405831
  -69000,   -1.277228,   -0.797735,   -0.141736,    0.558749,    1.097349,    1.317289,   -1.145130,   -0.614702,    0.101512,    0.802837,    1.299746,    1.470930
  -68000,   -1.309860,   -0.921151,   -0.179784,    0.775661,    1.679362,    2.280717,   -2.398659,   -1.979223,   -1.157150,   -0.170841,    0.703859,    1.240393
  -67000,   -1.139197,   -0.927411,   -0.198369,    0.920642,    2.130445,    3.105509,   -3.564284,   -3.355097,   -2.541470,   -1.364781,   -0.160438,    0.748932
