   AgeBP,   YearCE, JanDays, FebDays, MarDays, AprDays, MayDays, JunDays, JulDays, AugDays, SepDays, OctDays, NovDays, DecDays, JanMid , FebMid , MarMid , AprMid , MayMid , JunMid , JulMid , AugMid , SepMid , OctMid , NovMid , DecMid , JanBeg , FebBeg , MarBeg , AprBeg , MayBeg , JunBeg , JulBeg , AugBeg , SepBeg , OctBeg , NovBeg , DecBeg , JanEnd , FebEnd , MarEnd , AprEnd , MayEnd , JunEnd , JulEnd , AugEnd , SepEnd , OctEnd , NovEnd , DecEnd , VE_day , SS_day , ndays
 -127000,     1850,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  79.938, 172.808,  365
 -127000,     1851,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  80.180, 173.049,  365
 -127000,     1852,      34,      31,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      75,     105,     134,     162,     190,     218,     247,     278,     310,     343,      -6,      28,      59,      91,     120,     149,     176,     204,     233,     262,     294,     326,      27,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,     359,  80.422, 173.291,  366
 -127000,     1853,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  79.665, 172.533,  365
 -127000,     1854,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  79.908, 172.774,  365
 -127000,     1855,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  80.150, 173.016,  365
 -127000,     1856,      34,      31,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      75,     105,     134,     162,     190,     218,     247,     278,     310,     343,      -6,      28,      59,      91,     120,     149,     176,     204,     233,     262,     294,     326,      27,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,     359,  80.392, 173.258,  366
 -127000,     1857,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  79.635, 172.500,  365
 -127000,     1858,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  79.878, 172.742,  365
 -127000,     1859,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  80.120, 172.983,  365
 -127000,     1860,      34,      31,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      75,     105,     134,     162,     190,     218,     247,     278,     310,     343,      -6,      28,      59,      91,     120,     149,     176,     204,     233,     262,     294,     326,      27,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,     359,  80.362, 173.225,  366
 -127000,     1861,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  79.605, 172.467,  365
 -127000,     1862,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  79.847, 172.708,  365
 -127000,     1863,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  80.090, 172.951,  365
 -127000,     1864,      34,      31,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      75,     105,     134,     162,     190,     218,     247,     278,     310,     343,      -6,      28,      59,      91,     120,     149,     176,     204,     233,     262,     294,     326,      27,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,     359,  80.333, 173.192,  366
 -127000,     1865,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  79.575, 172.434,  365
 -127000,     1866,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  79.817, 172.676,  365
 -127000,     1867,      34,      30,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      74,     104,     133,     161,     189,     217,     246,     277,     309,     342,      -6,      28,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,      27,      57,      89,     118,     147,     174,     202,     231,     260,     292,     324,     358,  80.060, 172.917,  365
 -127000,     1868,      34,      31,      32,      29,      29,      27,      28,      29,      29,      32,      32,      34,      11,      43,      75,     105,     134,     162,     190,     218,     247,     278,     310,     343,      -6,      28,      59,      91,     120,     149,     176,     204,     233,     262,     294,     326,      27,      58,      90,     119,     148,     175,     203,     232,     261,     293,     325,     359,  80.303, 173.159,  366
